datetime,open,high,low,close,volume,symbol
2026-03-15T22:00:00+00:00,6661.25,6676.75,6658.0,6673.0,1138,MES
2026-03-15T22:01:00+00:00,6672.75,6685.0,6672.25,6684.75,548,MES
2026-03-15T22:02:00+00:00,6685.0,6691.75,6683.25,6685.0,806,MES
2026-03-15T22:03:00+00:00,6685.0,6689.0,6684.75,6686.0,234,MES
2026-03-15T22:04:00+00:00,6685.0,6687.75,6680.25,6681.0,350,MES
2026-03-15T22:05:00+00:00,6681.25,6682.25,6679.25,6681.5,309,MES
2026-03-15T22:06:00+00:00,6681.25,6683.25,6680.0,6681.25,316,MES
2026-03-15T22:07:00+00:00,6681.0,6683.25,6678.5,6679.0,373,MES
2026-03-15T22:08:00+00:00,6679.0,6679.5,6674.0,6674.25,485,MES
2026-03-15T22:09:00+00:00,6674.25,6677.0,6672.75,6672.75,367,MES
2026-03-15T22:10:00+00:00,6673.0,6675.5,6672.75,6675.0,209,MES
2026-03-15T22:11:00+00:00,6675.25,6676.75,6673.5,6676.75,222,MES
2026-03-15T22:12:00+00:00,6676.25,6678.0,6673.0,6673.0,300,MES
2026-03-15T22:13:00+00:00,6673.25,6674.0,6670.0,6671.25,387,MES
2026-03-15T22:14:00+00:00,6671.75,6673.0,6669.75,6672.0,295,MES
2026-03-15T22:15:00+00:00,6672.25,6673.0,6670.25,6670.75,125,MES
2026-03-15T22:16:00+00:00,6671.0,6671.75,6667.5,6667.75,217,MES
2026-03-15T22:17:00+00:00,6668.0,6670.25,6667.75,6669.0,200,MES
2026-03-15T22:18:00+00:00,6669.25,6669.5,6667.25,6668.25,144,MES
2026-03-15T22:19:00+00:00,6667.75,6668.0,6665.75,6666.5,247,MES
2026-03-15T22:20:00+00:00,6667.0,6671.25,6666.5,6670.75,305,MES
2026-03-15T22:21:00+00:00,6671.0,6671.25,6669.25,6670.5,161,MES
2026-03-15T22:22:00+00:00,6670.5,6672.25,6670.25,6671.75,142,MES
2026-03-15T22:23:00+00:00,6672.25,6672.25,6667.0,6667.25,279,MES
2026-03-15T22:24:00+00:00,6667.25,6673.5,6667.25,6673.0,323,MES
2026-03-15T22:25:00+00:00,6673.0,6677.5,6672.75,6675.25,454,MES
2026-03-15T22:26:00+00:00,6675.75,6676.75,6673.25,6674.5,262,MES
2026-03-15T22:27:00+00:00,6674.75,6676.25,6671.5,6673.5,273,MES
2026-03-15T22:28:00+00:00,6673.75,6674.0,6672.0,6673.75,152,MES
2026-03-15T22:29:00+00:00,6674.0,6675.0,6673.25,6674.75,136,MES
2026-03-15T22:30:00+00:00,6675.0,6675.75,6674.25,6674.75,233,MES
2026-03-15T22:31:00+00:00,6675.0,6676.0,6674.75,6674.75,222,MES
2026-03-15T22:32:00+00:00,6674.5,6674.75,6672.25,6672.25,232,MES
2026-03-15T22:33:00+00:00,6672.25,6672.75,6670.0,6672.75,346,MES
2026-03-15T22:34:00+00:00,6672.75,6673.25,6672.25,6673.25,206,MES
